,pic_type,RateDelay,ITI,Valence,ratingValence.rt,Arousal,ratingArousal.rt,cur_section,cur_block,PicStim,cur_pic,cur_rating,participant
0,posi,3.0,2.2,2.0,2.467,3.0,2.579,1.0,1.0,pics160/happy8041.jpg,1.0,1.0,Participant_21
1,warn,2.4,2.7,2.0,1.162,4.0,1.3,1.0,1.0,pics160/Security (6).jpg,2.0,2.0,Participant_21
2,onli,2.6,2.6,3.0,0.962,1.0,1.129,1.0,1.0,pics160/onli30.jpg,3.0,3.0,Participant_21
3,nega,2.4,2.3,2.0,1.367,3.0,1.012,1.0,1.0,pics160/fear9921.jpg,4.0,4.0,Participant_21
4,neut,2.3,3.0,3.0,0.645,1.0,1.617,1.0,1.0,pics160/neutral2206.jpg,5.0,5.0,Participant_21
5,posi,2.9,2.2,3.0,1.15,1.0,1.529,1.0,2.0,pics160/happy7260.jpg,1.0,6.0,Participant_21
6,warn,2.6,2.1,2.0,1.367,4.0,1.429,1.0,2.0,pics160/Security (25).jpg,2.0,7.0,Participant_21
7,neut,2.1,2.5,1.0,1.562,4.0,1.496,1.0,2.0,pics160/neutral7700.jpg,3.0,8.0,Participant_21
8,onli,2.7,2.7,3.0,1.529,1.0,1.578,1.0,2.0,pics160/onli13.jpg,4.0,9.0,Participant_21
9,nega,2.5,2.3,3.0,0.75,1.0,0.962,1.0,2.0,pics160/fear9560.jpg,5.0,10.0,Participant_21
10,nega,2.6,2.8,1.0,1.533,4.0,1.229,1.0,3.0,pics160/fear3500.jpg,1.0,11.0,Participant_21
11,neut,2.6,2.8,4.0,2.129,1.0,1.346,1.0,3.0,pics160/neutral2270.jpg,2.0,12.0,Participant_21
12,warn,2.7,3.0,2.0,1.429,4.0,0.896,1.0,3.0,pics160/Security (20).jpg,3.0,13.0,Participant_21
13,onli,2.5,2.5,3.0,0.479,2.0,1.779,1.0,3.0,pics160/onli10.jpg,4.0,14.0,Participant_21
14,posi,2.4,2.3,3.0,0.7,1.0,1.196,1.0,3.0,pics160/happy7286.jpg,5.0,15.0,Participant_21
15,posi,2.8,2.3,4.0,1.183,1.0,1.163,1.0,4.0,pics160/happy1920.jpg,1.0,16.0,Participant_21
16,warn,2.5,2.6,2.0,0.962,1.0,1.929,1.0,4.0,pics160/Security (12).jpg,2.0,17.0,Participant_21
17,onli,2.5,2.4,3.0,0.429,2.0,1.412,1.0,4.0,pics160/onli26.jpg,3.0,18.0,Participant_21
18,neut,2.5,2.1,3.0,0.45,1.0,1.229,1.0,4.0,pics160/neutral7224.jpg,4.0,19.0,Participant_21
19,nega,2.8,2.9,3.0,1.117,1.0,1.263,1.0,4.0,pics160/fear9090.jpg,5.0,20.0,Participant_21
20,onli,2.6,2.3,3.0,0.6,1.0,1.112,1.0,5.0,pics160/onli11.jpg,1.0,21.0,Participant_21
21,neut,2.4,3.0,3.0,0.9,1.0,1.296,1.0,5.0,pics160/neutral2383.jpg,2.0,22.0,Participant_21
22,warn,2.7,2.3,3.0,0.666,4.0,0.996,1.0,5.0,pics160/Security (16).jpg,3.0,23.0,Participant_21
23,nega,3.0,2.9,2.0,0.8,4.0,0.929,1.0,5.0,pics160/fear9912.jpg,4.0,24.0,Participant_21
24,posi,2.8,2.3,2.0,1.779,2.0,0.829,1.0,5.0,pics160/happy8080.jpg,5.0,25.0,Participant_21
25,neut,2.0,2.8,3.0,1.478,1.0,1.163,1.0,6.0,pics160/neutral7950.jpg,1.0,26.0,Participant_21
26,onli,2.7,3.0,3.0,0.45,1.0,1.296,1.0,6.0,pics160/onli24.jpg,2.0,27.0,Participant_21
27,posi,2.7,2.7,4.0,1.767,1.0,1.596,1.0,6.0,pics160/happy5000.jpg,3.0,28.0,Participant_21
28,nega,2.6,2.8,1.0,1.346,3.0,1.362,1.0,6.0,pics160/fear1280.jpg,4.0,29.0,Participant_21
29,warn,2.8,2.4,3.0,0.562,2.0,0.784,1.0,6.0,pics160/Security (10).jpg,5.0,30.0,Participant_21
30,onli,2.5,2.8,3.0,0.416,1.0,1.029,1.0,7.0,pics160/onli31.jpg,1.0,31.0,Participant_21
31,posi,2.9,2.6,3.0,0.434,1.0,1.263,1.0,7.0,pics160/happy7352.jpg,2.0,32.0,Participant_21
32,nega,2.7,2.5,1.0,1.284,4.0,0.929,1.0,7.0,pics160/fear9300.jpg,3.0,33.0,Participant_21
33,warn,2.8,2.7,2.0,1.379,2.0,1.362,1.0,7.0,pics160/Security (23).jpg,4.0,34.0,Participant_21
34,neut,2.9,2.1,3.0,0.662,1.0,1.212,1.0,7.0,pics160/neutral6150.jpg,5.0,35.0,Participant_21
35,neut,2.7,2.1,2.0,0.933,3.0,0.545,1.0,8.0,pics160/neutral2210.jpg,1.0,36.0,Participant_21
36,posi,2.4,2.7,3.0,0.627,1.0,1.517,1.0,8.0,pics160/happy7330.jpg,2.0,37.0,Participant_21
37,onli,3.0,2.7,3.0,0.733,2.0,1.145,1.0,8.0,pics160/onli23.jpg,3.0,38.0,Participant_21
38,nega,3.0,2.6,1.0,1.05,4.0,0.879,1.0,8.0,pics160/fear5971.jpg,4.0,39.0,Participant_21
39,warn,3.0,2.4,1.0,1.295,2.0,1.029,1.0,8.0,pics160/Security (30).jpg,5.0,40.0,Participant_21
